label,name,description,source,coding_instructions,id,complete,header,input,double_enter,type,valid_values,show_valid_values,unknown,value_labels,logic_checks,logic_prompts,logic_must_be_true,calculated,equation,visible
"Hourly GCS in the emergency department of trauma patients with a diagnosis of skull fracture, intracranial injury or spinal cord injury",taft3,Audit filter,1. Record 2. Direct observation,"Applies to: Patients with a diagnosis of skull fracture, intracranial injury or spinal cord injury. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft3 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
"Senior attending physician alerted when airway is compromised, usage jaw thrust, chin lift, ORA/NPA, or suction to open airway,  or shock present at triage (HR >100 OR SBP <110)* or oxygen saturation <95% within 5 minutes of initial assessment" taft22,Audit filter,1. Direct observation,"Applies to: Patients with difficulty breathing, or shock present at triage (HR >100, OR SBP <110)* or oxygen saturation <95%. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft22 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
Date of death in hospital or discharge,dodd,The date when the participant died in hospital or was discharged,Hospital record,"Code using the format YYYY-MM-DD, where YYYY is a four digit year, MM a two digit month and DD a two digit day. If not available code as 999, but also alert the core team.",no,no,no,yes,yes,date,,yes,999,,,,,no,,yes
Time of death in hospital or discharge,todd,The time when the participant died in hospital or was discharged,Hospital record,"Code using the format HH:MM, where HH is a two digit hour and MM is a two digit minute. If not available code as 999, but also alert the core team.",no,no,no,yes,yes,time,,yes,999,,,,,no,,yes
"External injury 1, free text description",einj1,A unique injury sustained by the participant,"Hospital record, physician's notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,yes,999,,,,,no,,yes
"External injury 1, AIS body region",einj1aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"External injury 1, AIS severity",einj1aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"External injury 2, free text description",einj2,A unique injury sustained by the participant,"Hospital record, physician's notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"External injury 2, AIS body region",einj2aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"External injury 2, AIS severity",einj2aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"External injury 3, free text description",einj3,A unique injury sustained by the participant,"Hospital record, physician's notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"External injury 3, AIS body region",einj3aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"External injury 3, AIS severity",einj3aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"External injury 4, free text description",einj4,A unique injury sustained by the participant,"Hospital record, physician's notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"External injury 4, AIS body region",einj4aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"External injury 4, AIS severity",einj4aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"External injury 5, free text description",einj5,A unique injury sustained by the participant,"Hospital record, physician's notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"External injury 5, AIS body region",einj5aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"External injury 5, AIS severity",einj5aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"External injury 6, free text description",einj6,A unique injury sustained by the participant,"Hospital record, physician's notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"External injury 6, AIS body region",einj6aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"External injury 6, AIS severity",einj6aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from X-ray report 1, free text description",xrayinj1,A unique injury sustained by the participant,"Hospital record, X-ray report",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from X-ray report 1, AIS body region",xrayinj1aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from X-ray report 1, AIS severity",xrayinj1aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from X-ray report 2, free text description",xrayinj2,A unique injury sustained by the participant,"Hospital record, X-ray report",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from X-ray report 2, AIS body region",xrayinj2aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"2,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from X-ray report 2, AIS severity",xrayinj2aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from X-ray report 3, free text description",xrayinj3,A unique injury sustained by the participant,"Hospital record, X-ray report",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from X-ray report 3, AIS body region",xrayinj3aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from X-ray report 3, AIS severity",xrayinj3aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from X-ray report 4, free text description",xrayinj4,A unique injury sustained by the participant,"Hospital record, X-ray report",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from X-ray report 4, AIS body region",xrayinj4aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from X-ray report 4, AIS severity",xrayinj4aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from X-ray report 5, free text description",xrayinj5,A unique injury sustained by the participant,"Hospital record, X-ray report",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from X-ray report 5, AIS body region",xrayinj5aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from X-ray report 5, AIS severity",xrayinj5aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from X-ray report 6, free text description",xrayinj6,A unique injury sustained by the participant,"Hospital record, X-ray report",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from X-ray report 6, AIS body region",xrayinj6aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from X-ray report 6, AIS severity",xrayinj6aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from ultrasonography report 1, free text description",uinj1,A unique injury sustained by the participant,"Hospital record, ultrasonography report",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from ultrasonography report 1, AIS body region",uinj1aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from ultrasonography report 1, AIS severity",uinj1aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from ultrasonography report 2, free text description",uinj2,A unique injury sustained by the participant,"Hospital record, ultrasonography report",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from ultrasonography report 2, AIS body region",uinj2aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from ultrasonography report 2, AIS severity",uinj2aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from ultrasonography report 3, free text description",uinj3,A unique injury sustained by the participant,"Hospital record, ultrasonography report",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from ultrasonography report 3, AIS body region",uinj3aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from ultrasonography report 3, AIS severity",uinj3aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from ultrasonography report 4, free text description",uinj4,A unique injury sustained by the participant,"Hospital record, ultrasonography report",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from ultrasonography report 4, AIS body region",uinj4aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from ultrasonography report 4, AIS severity",uinj4aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from ultrasonography report 5, free text description",uinj5,A unique injury sustained by the participant,"Hospital record, ultrasonography report",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from ultrasonography report 5, AIS body region",uinj5aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from ultrasonography report 5, AIS severity",uinj5aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from ultrasonography report 6, free text description",uinj6,A unique injury sustained by the participant,"Hospital record, ultrasonography report",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from ultrasonography report 6, AIS body region",uinj6aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from ultrasonography report 6, AIS severity",uinj6aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from CT report 1, free text description",ctinj1,A unique injury sustained by the participant,"Hospital record, CT report",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from CT report 1, AIS body region",ctinj1aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from CT report 1, AIS severity",ctinj1aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from CT report 2, free text description",ctinj2,A unique injury sustained by the participant,"Hospital record, CT report",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from CT report 2, AIS body region",ctinj2aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from CT report 2, AIS severity",ctinj2aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from CT report 3, free text description",ctinj3,A unique injury sustained by the participant,"Hospital record, CT report",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from CT report 3, AIS body region",ctinj3aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from CT report 3, AIS severity",ctinj3aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from CT report 4, free text description",ctinj4,A unique injury sustained by the participant,"Hospital record, CT report",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from CT report 4, AIS body region",ctinj4aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from CT report 4, AIS severity",ctinj4aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from CT report 5, free text description",ctinj5,A unique injury sustained by the participant,"Hospital record, CT report",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from CT report 5, AIS body region",ctinj5aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from CT report 5, AIS severity",ctinj5aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from CT report 6, free text description",ctinj6,A unique injury sustained by the participant,"Hospital record, CT report",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from CT report 6, AIS body region",ctinj6aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from CT report 6, AIS severity",ctinj6aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from operation notes 1, free text description",iopinj1,A unique injury sustained by the participant,"Hospital record, intraoperative notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from operation notes 1, AIS body region",iopinj1aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from operation notes 1, AIS severity",iopinj1aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from operation notes 2, free text description",iopinj2,A unique injury sustained by the participant,"Hospital record, intraoperative notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from operation notes 2, AIS body region",iopinj2aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from operation notes 2, AIS severity",iopinj2aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from operation notes 3, free text description",iopinj3,A unique injury sustained by the participant,"Hospital record, intraoperative notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from operation notes 3, AIS body region",iopinj3aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from operation notes 3, AIS severity",iopinj3aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from operation notes 4, free text description",iopinj4,A unique injury sustained by the participant,"Hospital record, intraoperative notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Injury from operation notes 4, AIS body region",iopinj4aisbr,The abbreviated injury scale (AIS) body region of the previous injury,AIS certified coder,Enter the AIS body region. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,7,8,9",yes,999,"""Head"",""Face"",""Neck"",""Thorax"",""Abdomen"",""Spine"",""Upper extremity"",""Lower extremity"",""Unspecified""",,,,no,,yes
"Injury from operation notes 4, AIS severity",iopinj4aiss,The abbreviated injury scale (AIS) severity of the previous injury,AIS certified coder,Enter the AIS severity. If unknown code as 999.,no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,9",yes,999,"""Minor"",""Moderate"",""Serious"",""Severe"",""Critical"",""Maximum"",""Not further specified""",,,,no,,yes
"Injury from operation notes 5, free text description",iopinj5,A unique injury sustained by the participant,"Hospital record, intraoperative notes",Enter as free text. There should be only one injury per injury variable.,no,no,no,yes,no,text,,no,999,,,,,no,,yes
